source,title,author,published,year,month,link,tags,summary
bhis,detecting adcs privilege escalation,BHIS,2025-07-23 13:31:22+00:00,2025,7,https://www.blackhillsinfosec.com/detecting-adcs-privilege-escalation/,"alyssa snow, blue team, blue team tools, external/internal, how-to, informational, active directory, adcs","active directory certificate services (adcs) is used to manage certificates for systems, users, applications, and more in an enterprise environment. misconfigurations in adcs can introduce critical vulnerabilities into an enterprise active directory environment."
bhis,vulnerability scanning with nmap,BHIS,2025-07-16 14:00:00+00:00,2025,7,https://www.blackhillsinfosec.com/vulnerability-scanning-with-nmap/,"external/internal, general infosec tips & tricks, how-to, informational, infosec 101, terry reece, nmap, vulnerability scanning","nmap, also known as network mapper, is a commonly used network scanning tool. as penetration testers, nmap is a tool we use daily that is indispensable for verifying configurations and identifying potential vulnerabilities."
bhis,getting started with netexec: streamlining network discovery and access,BHIS,2025-07-09 14:00:00+00:00,2025,7,https://www.blackhillsinfosec.com/getting-started-with-netexec/,"dale hobbs, external/internal, how-to, informational, password spray, red team, red team tools, active directory enumeration, authentication testing, blue team defense, crackmapexec alternative, credential spraying, lateral movement, netexec, network discovery, ntlm authentication, pass-the-hash (pth), pass-the-ticket (ptt), smb enumeration","one tool that i can't live without when performing a penetration test in an active directory environment is called netexec. being able to efficiently authenticate against multiple systems in the network is crucial, and netexec is an incredibly powerful tool that helps automate a lot of this activity."
bhis,how to use dirsearch,BHIS,2025-07-02 14:00:00+00:00,2025,7,https://www.blackhillsinfosec.com/how-to-use-dirsearch/,"chris sullo', general infosec tips & tricks, how-to, informational, recon, web app","dirsearch is an open-source multi-threaded “web path discovery” tool first released in 2014. the program, written in python, is similar to other tools such as dirbuster or gobuster, and aims to quickly find hidden content on web sites."
bhis,augmenting penetration testing methodology with artificial intelligence – part 3: arcanum cyber security bot,BHIS,2025-06-25 14:00:00+00:00,2025,6,https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-3/,"craig vincent, how-to, informational, red team tools, ai, arcanum cyber security bot, artifical intelligence, penetration testing, pentesting","in my journey to explore how i can use artificial intelligence to assist in penetration testing, i experimented with a security-focused chat bot created by jason haddix called arcanum cyber security bot (available on  jason engineered this bot to leverage up-to-date technical information related to application security and penetration testing."
bhis,how to design and execute effective social engineering attacks by phone,BHIS,2025-06-18 14:46:17+00:00,2025,6,https://www.blackhillsinfosec.com/how-to-design-and-execute-effective-social-engineering-attacks-by-phone/,"informational, john malone, red team, social engineering, initial access, phishing, vishing","social engineering is the manipulation of individuals into divulging confidential information, granting unauthorized access, or performing actions that benefit the attacker, all without the victim realizing they are being tricked."
bhis,abusing s4u2self for active directory pivoting,BHIS,2025-06-11 14:00:00+00:00,2025,6,https://www.blackhillsinfosec.com/abusing-s4u2self-for-active-directory-pivoting/,"informational, red team, red team tools, active directory, constrained delegation, hunter wade, kerberos, s4u2self","tl;dr if you only have access to a valid machine hash, you can leverage the kerberos s4u2self proxy for local privilege escalation, which allows reopening and expanding potential local-to-domain pivoting paths, such as seimpersonate!"
bhis,why use a macro pad?,BHIS,2025-06-04 14:00:00+00:00,2025,6,https://www.blackhillsinfosec.com/why-use-a-macro-pad/,"general infosec tips & tricks, how-to, informational, mitchell stein, elgato, macro pad, stream deck","compression is everywhere—in files, videos, storage, and networks—so it’s only natural it should also be in your workflow too. you can “compress” a series of tedious, repetitive tasks requiring multiple steps and several configurations into a single button press with a macro pad such as the stream deck or a fully software-customizable mechanical keyboard."
bhis,"espanso: text replacement, the easy way",BHIS,2025-05-28 14:00:00+00:00,2025,5,https://www.blackhillsinfosec.com/espanso-text-replacement/,"chris sullo', general infosec tips & tricks, how-to, informational, espanso, text expander, text replacement",espanso is a powerful cross-platform and open-source text replacement (or text expander) tool. at a simple level: it replaces what you type with something else.
bhis,caging copilot: lessons learned in llm security,Bronwen Aker,2025-05-21 14:00:00+00:00,2025,5,https://www.blackhillsinfosec.com/caging-copilot/,"blue team tools, bronwen aker, general infosec tips & tricks, informational, copilot, cyber deception, llm","for those of us in cybersecurity, there are a lot of unanswered questions and associated concerns about integrating ai into these various products. no small part of our worries has to do with the fact that this is new technology, and new tech always brings with it new security issues, especially technology that is evolving as quickly as ai."
bhis,augmenting penetration testing methodology with artificial intelligence – part 2: copilot,BHIS,2025-05-14 14:00:00+00:00,2025,5,https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-2/,"craig vincent, how-to, informational, ai, artifical intelligence, copilot, penetration testing, pentesting",a common use case for llms is rapid software development. one of the first ways i used ai in my penetration testing methodology was for payload generation.
bhis,augmenting penetration testing methodology with artificial intelligence – part 1: burpference,BHIS,2025-05-07 14:00:00+00:00,2025,5,https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-1/,"informational, red team, ai, artifical intelligence, artificial intelligence, burpference, penetration testing","burpference is a burp suite plugin that takes requests and responses to and from in-scope web applications and sends them off to an llm for inference. in the context of artificial intelligence, inference is taking a trained model, providing it with new information, and asking it to analyze this new information based on its training."
bhis,intercepting traffic for mobile applications that bypass the system proxy,BHIS,2025-04-30 14:00:00+00:00,2025,4,https://www.blackhillsinfosec.com/intercepting-traffic-for-mobile-applications/,"cameron cartier, dave blandford, informational, mobile, flutter, proxy, traffic interception","this is a foolproof guide to intercepting traffic from mobile applications built on flutter, which historically have been especially challenging to intercept."
