source,title,author,published,link,tags,summary
bhis,Detecting ADCS Privilege Escalation,BHIS,"Wed, 23 Jul 2025 13:31:22 +0000",https://www.blackhillsinfosec.com/detecting-adcs-privilege-escalation/,"Alyssa Snow, Blue Team, Blue Team Tools, External/Internal, How-To, Informational, Active Directory, ADCS","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/07/ADCS_header.png"" width=""1280"" /></p>
<p>Active Directory Certificate Services (ADCS) is used to manage certificates for systems, users, applications, and more in an enterprise environment. Misconfigurations in ADCS can introduce critical vulnerabilities into an enterprise Active Directory environment.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/detecting-adcs-privilege-escalation/"">Detecting ADCS Privilege Escalation</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Vulnerability Scanning with Nmap,BHIS,"Wed, 16 Jul 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/vulnerability-scanning-with-nmap/,"External/Internal, General InfoSec Tips & Tricks, How-To, Informational, InfoSec 101, Terry Reece, Nmap, Vulnerability Scanning","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/07/nmap_header.png"" width=""1280"" /></p>
<p>Nmap, also known as Network Mapper, is a commonly used network scanning tool. As penetration testers, Nmap is a tool we use daily that is indispensable for verifying configurations and identifying potential vulnerabilities.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/vulnerability-scanning-with-nmap/"">Vulnerability Scanning with Nmap </a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Getting Started with NetExec: Streamlining Network Discovery and Access,BHIS,"Wed, 09 Jul 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/getting-started-with-netexec/,"Dale Hobbs, External/Internal, How-To, Informational, Password Spray, Red Team, Red Team Tools, Active Directory Enumeration, Authentication Testing, Blue Team Defense, CrackMapExec Alternative, Credential Spraying, Lateral Movement, Netexec, Network Discovery, NTLM Authentication, Pass-the-Hash (PTH), Pass-the-Ticket (PTT), SMB Enumeration","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/07/netexec_header.png"" width=""1280"" /></p>
<p>One tool that I can't live without when performing a penetration test in an Active Directory environment is called NetExec. Being able to efficiently authenticate against multiple systems in the network is crucial, and NetExec is an incredibly powerful tool that helps automate a lot of this activity.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/getting-started-with-netexec/"">Getting Started with NetExec: Streamlining Network Discovery and Access</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,How to Use Dirsearch,BHIS,"Wed, 02 Jul 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/how-to-use-dirsearch/,"Chris Sullo', General InfoSec Tips & Tricks, How-To, Informational, Recon, Web App","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/07/dirsearch_header.png"" width=""1280"" /></p>
<p>Dirsearch is an open-source multi-threaded “web path discovery” tool first released in 2014. The program, written in Python, is similar to other tools such as Dirbuster or Gobuster, and aims to quickly find hidden content on web sites.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/how-to-use-dirsearch/"">How to Use Dirsearch</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Augmenting Penetration Testing Methodology with Artificial Intelligence – Part 3: Arcanum Cyber Security Bot,BHIS,"Wed, 25 Jun 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-3/,"Craig Vincent, How-To, Informational, Red Team Tools, AI, Arcanum Cyber Security Bot, artifical intelligence, penetration testing, Pentesting","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/06/arcanum_header.png"" width=""1280"" /></p>
<p>In my journey to explore how I can use artificial intelligence to assist in penetration testing, I experimented with a security-focused chat bot created by Jason Haddix called Arcanum Cyber Security Bot (available on https://chatgpt.com/gpts). Jason engineered this bot to leverage up-to-date technical information related to application security and penetration testing.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-3/"">Augmenting Penetration Testing Methodology with Artificial Intelligence &#8211; Part 3: Arcanum Cyber Security Bot</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,How to Design and Execute Effective Social Engineering Attacks by Phone,BHIS,"Wed, 18 Jun 2025 14:46:17 +0000",https://www.blackhillsinfosec.com/how-to-design-and-execute-effective-social-engineering-attacks-by-phone/,"Informational, John Malone, Red Team, Social Engineering, initial access, phishing, Vishing","<p><img alt=""How to Design and Execute Effective Social Engineering Attacks by Phone"" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/06/engineering_header-1.png"" width=""1280"" /></p>
<p>Social engineering is the manipulation of individuals into divulging confidential information, granting unauthorized access, or performing actions that benefit the attacker, all without the victim realizing they are being tricked.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/how-to-design-and-execute-effective-social-engineering-attacks-by-phone/"">How to Design and Execute Effective Social Engineering Attacks by Phone</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Abusing S4U2Self for Active Directory Pivoting,BHIS,"Wed, 11 Jun 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/abusing-s4u2self-for-active-directory-pivoting/,"Informational, Red Team, Red Team Tools, Active Directory, Constrained Delegation, Hunter Wade, Kerberos, S4U2Self","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/06/s4u2self_header.png"" width=""1280"" /></p>
<p>TL;DR If you only have access to a valid machine hash, you can leverage the Kerberos S4U2Self proxy for local privilege escalation, which allows reopening and expanding potential local-to-domain pivoting paths, such as SEImpersonate!</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/abusing-s4u2self-for-active-directory-pivoting/"">Abusing S4U2Self for Active Directory Pivoting</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Why Use a Macro Pad?,BHIS,"Wed, 04 Jun 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/why-use-a-macro-pad/,"General InfoSec Tips & Tricks, How-To, Informational, Mitchell Stein, Elgato, Macro pad, Stream deck","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/06/macropad_header.png"" width=""1280"" /></p>
<p>Compression is everywhere—in files, videos, storage, and networks—so it’s only natural it should also be in your workflow too. You can “compress” a series of tedious, repetitive tasks requiring multiple steps and several configurations into a single button press with a macro pad such as the Stream Deck or a fully software-customizable mechanical keyboard. </p>
<p>The post <a href=""https://www.blackhillsinfosec.com/why-use-a-macro-pad/"">Why Use a Macro Pad?</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,"Espanso: Text Replacement, the Easy Way",BHIS,"Wed, 28 May 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/espanso-text-replacement/,"Chris Sullo', General InfoSec Tips & Tricks, How-To, Informational, espanso, text expander, text replacement","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/05/espanso_header-1.png"" width=""1280"" /></p>
<p>Espanso is a powerful cross-platform and open-source text replacement (or text expander) tool. At a simple level: it replaces what you type with something else.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/espanso-text-replacement/"">Espanso: Text Replacement, the Easy Way</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Caging Copilot: Lessons Learned in LLM Security,Bronwen Aker,"Wed, 21 May 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/caging-copilot/,"Blue Team Tools, Bronwen Aker, General InfoSec Tips & Tricks, Informational, Copilot, Cyber Deception, LLM","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/05/copilotbronwen_header.png"" width=""1280"" /></p>
<p>For those of us in cybersecurity, there are a lot of unanswered questions and associated concerns about integrating AI into these various products. No small part of our worries has to do with the fact that this is new technology, and new tech always brings with it new security issues, especially technology that is evolving as quickly as AI.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/caging-copilot/"">Caging Copilot: Lessons Learned in LLM Security</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Augmenting Penetration Testing Methodology with Artificial Intelligence – Part 2: Copilot,BHIS,"Wed, 14 May 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-2/,"Craig Vincent, How-To, Informational, AI, artifical intelligence, Copilot, penetration testing, Pentesting","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/05/copilot_header.png"" width=""1280"" /></p>
<p>A common use case for LLMs is rapid software development. One of the first ways I used AI in my penetration testing methodology was for payload generation.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-2/"">Augmenting Penetration Testing Methodology with Artificial Intelligence – Part 2: Copilot</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Augmenting Penetration Testing Methodology with Artificial Intelligence – Part 1: Burpference,BHIS,"Wed, 07 May 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-1/,"Informational, Red Team, AI, artifical intelligence, Artificial Intelligence, burpference, penetration testing","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/05/burpference_header.png"" width=""1280"" /></p>
<p>Burpference is a Burp Suite plugin that takes requests and responses to and from in-scope web applications and sends them off to an LLM for inference. In the context of artificial intelligence, inference is taking a trained model, providing it with new information, and asking it to analyze this new information based on its training.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/penetration-testing-with-ai-part-1/"">Augmenting Penetration Testing Methodology with Artificial Intelligence &#8211; Part 1: Burpference</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,Intercepting Traffic for Mobile Applications that Bypass the System Proxy,BHIS,"Wed, 30 Apr 2025 14:00:00 +0000",https://www.blackhillsinfosec.com/intercepting-traffic-for-mobile-applications/,"Cameron Cartier, Dave Blandford, Informational, Mobile, Flutter, proxy, traffic interception","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/04/trafficproxy_header-1.png"" width=""1280"" /></p>
<p>This is a foolproof guide to intercepting traffic from mobile applications built on Flutter, which historically have been especially challenging to intercept.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/intercepting-traffic-for-mobile-applications/"">Intercepting Traffic for Mobile Applications that Bypass the System Proxy</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
bhis,How to Root Android Phones,BHIS,"Wed, 23 Apr 2025 14:06:05 +0000",https://www.blackhillsinfosec.com/how-to-root-android-phones/,"Dave Blandford, Informational, Mobile, Android, root, root user, Rooting, superuser","<p><img alt="""" class=""attachment-full size-full wp-post-image"" height=""720"" src=""https://www.blackhillsinfosec.com/wp-content/uploads/2025/04/RootAndroid_header.png"" width=""1280"" /></p>
<p>This blog will cover how to root an AVD emulator and a physical Pixel 6. But before we cover those topics, let's cover what it is we will be doing and some of the pro/cons of rooting an Android phone.</p>
<p>The post <a href=""https://www.blackhillsinfosec.com/how-to-root-android-phones/"">How to Root Android Phones</a> appeared first on <a href=""https://www.blackhillsinfosec.com"">Black Hills Information Security, Inc.</a>.</p>"
