title,scope,level,language,topic
Best Practices for Telecom,Explore advanced techniques and strategies to mitigate risks related to Telecom.,Intermediate,English,Telecom
Essentials of Malware,Develop robust policies and procedures to enhance your organization's Malware posture.,Beginner,Arabic,Malware
Understanding Smishing,Understand the latest trends and challenges in Smishing and how to effectively address them.,Expert,Arabic,Smishing
Best Practices for Clean Office Policy,This module focuses on the practical implementation of Clean Office Policy security measures.,Intermediate,Arabic,Clean Office Policy
Understanding Using AI Safely,Develop robust policies and procedures to enhance your organization's Using AI Safely posture.,Intermediate,English,Using AI Safely
The Complete Guide to Security Controls,Develop robust policies and procedures to enhance your organization's Security Controls posture.,Expert,Arabic,Security Controls
Advanced Strategies in Email Phishing Intro,Develop robust policies and procedures to enhance your organization's Email Phishing Intro posture.,Beginner,English,Email Phishing Intro
Advanced Strategies in Using AI Safely,Learn the fundamental principles of Using AI Safely and how to apply them in real-world scenarios.,Beginner,English,Using AI Safely
Introduction to Data Encryption,Explore advanced techniques and strategies to mitigate risks related to Data Encryption.,Intermediate,English,Data Encryption
Mastering Security Controls for Professionals,Explore advanced techniques and strategies to mitigate risks related to Security Controls.,Advanced,English,Security Controls
Advanced Strategies in Threat Actors,This module focuses on the practical implementation of Threat Actors security measures.,Advanced,Arabic,Threat Actors
Best Practices for Social engineering,Understand the latest trends and challenges in Social engineering and how to effectively address them.,Intermediate,English,Social engineering
Introduction to Ransomware,"This course provides an in-depth look at Ransomware, covering key concepts and practical applications.",Expert,Arabic,Ransomware
Mastering Email Phishing (Tactics) for Professionals,"A comprehensive overview of Email Phishing (Tactics), designed for both beginners and experienced professionals.",Beginner,English,Email Phishing (Tactics)
Best Practices for Using AI Safely,Gain critical insights into Using AI Safely and its impact on modern cybersecurity.,Advanced,Arabic,Using AI Safely
Securing Your Assets with Security Essentials,"A comprehensive overview of Security Essentials, designed for both beginners and experienced professionals.",Beginner,Arabic,Security Essentials
Navigating the World of Operation Technology,"A comprehensive overview of Operation Technology, designed for both beginners and experienced professionals.",Beginner,English,Operation Technology
Essentials of Password Security,Explore advanced techniques and strategies to mitigate risks related to Password Security.,Intermediate,Arabic,Password Security
Mastering PII for Professionals,Develop robust policies and procedures to enhance your organization's PII posture.,Expert,English,PII
Mastering Data Encryption for Professionals,"A comprehensive overview of Data Encryption, designed for both beginners and experienced professionals.",Expert,Arabic,Data Encryption
Navigating the World of OWASP TOP 10,"A comprehensive overview of OWASP TOP 10, designed for both beginners and experienced professionals.",Beginner,Arabic,OWASP TOP 10
Advanced Strategies in Telework,"This course provides an in-depth look at Telework, covering key concepts and practical applications.",Advanced,English,Telework
The Complete Guide to Data Security,Understand the latest trends and challenges in Data Security and how to effectively address them.,Beginner,English,Data Security
Understanding Malware,Learn the fundamental principles of Malware and how to apply them in real-world scenarios.,Expert,Arabic,Malware
Advanced Strategies in Using AI Safely,"This course provides an in-depth look at Using AI Safely, covering key concepts and practical applications.",Intermediate,Arabic,Using AI Safely
Introduction to Cloud Security,Explore advanced techniques and strategies to mitigate risks related to Cloud Security.,Expert,English,Cloud Security
Introduction to Insider Threat,Develop robust policies and procedures to enhance your organization's Insider Threat posture.,Beginner,Arabic,Insider Threat
Mastering Using AI Safely for Professionals,Learn the fundamental principles of Using AI Safely and how to apply them in real-world scenarios.,Beginner,English,Using AI Safely
Understanding Financial Security,"This course provides an in-depth look at Financial Security, covering key concepts and practical applications.",Expert,English,Financial Security
Essentials of Physical Security,"This course provides an in-depth look at Physical Security, covering key concepts and practical applications.",Beginner,English,Physical Security
Essentials of Web Attacks,"This course provides an in-depth look at Web Attacks, covering key concepts and practical applications.",Advanced,Arabic,Web Attacks
The Complete Guide to Telework,Develop robust policies and procedures to enhance your organization's Telework posture.,Expert,English,Telework
Mastering Real attacks for Professionals,This module focuses on the practical implementation of Real attacks security measures.,Intermediate,Arabic,Real attacks
Understanding Laundering,This module focuses on the practical implementation of Laundering security measures.,Advanced,Arabic,Laundering
Mastering Financial Security for Professionals,Gain critical insights into Financial Security and its impact on modern cybersecurity.,Intermediate,Arabic,Financial Security
The Complete Guide to Cloud Security,This module focuses on the practical implementation of Cloud Security security measures.,Intermediate,Arabic,Cloud Security
Advanced Strategies in Security Procedures,Develop robust policies and procedures to enhance your organization's Security Procedures posture.,Advanced,English,Security Procedures
